Name,Total Personnel,White,Black,Other,Hispanic,Non-Hispanic,Male,Female
Albany,776,711,43,22,20,756,710,66
Allegany,93,93,0,0,0,93,87,6
Broome,352,335,10,7,10,342,322,30
Cattaraugus,190,180,2,8,3,187,166,24
Cayuga,114,114,0,0,1,113,99,15
Chautauqua,291,282,4,5,10,281,269,22
Chemung,148,145,3,0,1,147,140,8
Chenango,81,79,2,0,2,79,73,8
Clinton,92,92,0,0,1,91,79,13
Columbia,164,153,11,0,3,161,143,21
Cortland,134,132,2,0,1,133,117,17
Delaware,68,67,1,0,0,68,63,5
Dutchess,511,493,14,4,22,489,468,43
Erie,1909,1643,174,92,76,1833,1660,249
Essex,36,36,0,0,0,36,33,3
Franklin,104,104,0,0,0,104,86,18
Fulton,111,108,2,1,2,109,102,9
Genesee,98,97,1,0,1,97,91,7
Greene,127,125,2,0,5,122,120,7
Hamilton,16,16,0,0,0,16,15,1
Herkimer,169,163,1,5,5,164,150,19
Jefferson,166,164,2,0,2,164,149,17
Lewis,38,38,0,0,0,38,36,2
Livingston,149,144,1,4,2,147,134,15
Madison,180,177,2,1,2,178,161,19
Monroe,1313,1119,88,106,94,1219,1139,174
Montgomery,121,119,2,0,0,121,111,10
Nassau,3047,2650,161,236,225,2822,2738,309
New York City,34054,15912,5190,12952,9899,24155,27740,6314
Niagara,402,390,8,4,2,400,363,39
Oneida,375,364,10,1,12,363,346,29
Onondaga,887,830,44,13,15,872,749,138
Ontario,177,177,0,0,4,173,167,10
Orange,716,690,19,7,64,652,664,52
Orleans,76,76,0,0,2,74,73,3
Oswego,247,242,2,3,3,244,228,19
Otsego,54,53,0,1,3,51,43,11
Putnam,175,173,2,0,6,169,164,11
Rensselaer,255,244,8,3,3,252,235,20
Rockland,606,569,31,6,55,551,555,51
St Lawrence,146,146,0,0,1,145,131,15
Saratoga,304,301,3,0,2,302,278,26
Schenectady,279,258,13,8,7,272,259,20
Schoharie,50,46,3,1,1,49,41,9
Schuyler,40,40,0,0,0,40,38,2
Seneca,20,20,0,0,1,19,18,2
Steuben,133,132,1,0,1,132,121,12
Suffolk,3322,3155,86,81,288,3034,2907,415
Sullivan,123,110,12,1,13,110,113,10
Tioga,32,32,0,0,0,32,32,0
Tompkins,228,207,14,7,10,218,195,33
Ulster,642,557,50,35,51,591,572,70
Warren,123,122,0,1,1,122,116,7
Washington,131,128,1,2,1,130,124,7
Wayne,124,123,0,1,1,123,109,15
Westchester,2603,2177,258,168,386,2217,2307,296
Wyoming,84,84,0,0,1,83,74,10
Yates,52,52,0,0,0,52,47,5
Multiple County,5940,5224,315,401,459,5481,5261,679